,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,country_name,iso_country,region_name,iso_region,local_region,municipality,gps_code,iata_code,local_code,keywords
90,318639,TZ-0078,small_airport,Kishoshoroni Airport,-2.015174,35.273109,6100.0,Tanzania,TZ,Mara Region,TZ-13,13,Kishoshoroni,,,,
91,318640,TZ-0079,small_airport,Kitumbeine Airport,-2.820447,36.323156,,Tanzania,TZ,Arusha Region,TZ-01,1,Kitumbeine,,,,
92,318575,TZ-0018,small_airport,Kogatende Airstrip,-1.568396,34.886933,,Tanzania,TZ,Mara Region,TZ-13,13,Kogatende,,,,
93,42478,HTKD,small_airport,Kondoa Airport,-4.893710136413574,35.7682991027832,4578.0,Tanzania,TZ,Dodoma Region,TZ-03,3,Kondoa,HTKD,,,
94,31638,HTKO,small_airport,Kongwa Airport,-6.150000095367432,36.41699981689453,3300.0,Tanzania,TZ,Dodoma Region,TZ-03,3,Kongwa,HTKO,,,
95,318584,TZ-0027,small_airport,Kuro Airport,-4.007918,36.076105,,Tanzania,TZ,Manyara Region,TZ-26,26,Kuro,,,,
96,318641,TZ-0080,small_airport,Kwajoni Airport,-5.512166,38.965097,15.0,Tanzania,TZ,Tanga Region,TZ-25,25,Kwajoni,,,,
97,42482,HTLL,small_airport,Liuli Airport,-11.116399765014648,34.652198791503906,1667.0,Tanzania,TZ,Ruvuma Region,TZ-21,21,Liuli,HTLL,,,
98,318568,TZ-0011,small_airport,Liwale Airport,-9.796886,37.870732,,Tanzania,TZ,Lindi Region,TZ-12,12,Liwale,,,,
99,318647,TZ-0086,small_airport,Madaba Airport,-8.643293,37.673992,1040.0,Tanzania,TZ,Ruvuma Region,TZ-21,21,Liwale,,,,
100,318577,TZ-0020,small_airport,Lobo Airstrip,-2.009865,35.159105,5500.0,Tanzania,TZ,Mara Region,TZ-13,13,Lobo,,,,
101,42481,HTLD,small_airport,Loliondo Airport,-2.06969,35.5457,6620.0,Tanzania,TZ,Arusha Region,TZ-01,1,Loliondo,HTLD,,,
