,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_region,municipality,gps_code,iata_code,keywords
198,318792,TZ-0134,small_airport,Nkoname Airport,-6.918093,34.871684,3600.0,TZ-23,Nkoname,,,
199,318793,TZ-0135,small_airport,Olemilei Airport,-2.40866,35.627164,6000.0,TZ-01,Arash,,,
200,318794,TZ-0136,small_airport,Sanzale Airport,-6.471723,38.880082,47.0,TZ-19,Bagamoyo,HTXX,,
201,318795,TZ-0137,small_airport,Sikonge Airport,-5.627718,32.762082,3600.0,TZ-24,Sikonge,,,
202,318796,TZ-0138,small_airport,Kasense Airport,-5.784903,31.355212,3000.0,TZ-24,,HTKN,,
203,318797,TZ-0139,small_airport,Mawemeru Airport,-3.111222,32.21536,4000.0,TZ-31,Nyarugusu,,,
204,318870,TZ-0140,small_airport,Buckreef Airport,-3.095158,32.019562,4017.0,TZ-31,Buseresere,,,
205,318920,TZ-0141,small_airport,Stieglers Gorge Airport,-7.820084,37.87828,600.0,TZ-19,,,,
206,318921,TZ-0142,small_airport,Sumbazi Airport,-7.884957,37.678091,750.0,TZ-16,,,,
207,340237,TZ-0143,closed,Rushungi Airport,-9.43453,39.60582,,TZ-12,Rushungi,,,
208,351484,TZ-0144,small_airport,Milambi Airport,-1.40561,30.74995,4279.0,TZ-05,Milambi,,,
209,42491,TZ-GIT,small_airport,Mchauru Airport,-2.813667,32.172472,3955.0,TZ-31,Geita,HTRU,GIT,
210,42492,TZ-LUY,small_airport,Lushoto Airport,-4.783259868621826,38.30419921875,5360.0,TZ-25,Lushoto,,LUY,
